match_id,inning,batting_team,team_final_score,wickets_lost,anchor_balls_faced,non_anchor_strike_rate,anchor_present,winner,match_won
501220,2,Rajasthan Royals,147,7,0.0,119.83471074380165,0,Kings XI Punjab,0
501221,1,Mumbai Indians,164,4,0.0,117.1875,0,Mumbai Indians,1
501221,2,Chennai Super Kings,156,9,34.0,110.5263157894737,1,Mumbai Indians,0
501222,1,Kolkata Knight Riders,171,5,86.0,162.7906976744186,1,Royal Challengers Bangalore,0
501222,2,Royal Challengers Bangalore,175,1,32.0,162.96296296296296,1,Royal Challengers Bangalore,1
501223,1,Delhi Daredevils,231,4,0.0,170.63492063492063,0,Delhi Daredevils,1
501223,2,Kings XI Punjab,202,6,0.0,160.16260162601625,0,Delhi Daredevils,0
501224,1,Mumbai Indians,172,4,0.0,136.88524590163937,0,Mumbai Indians,1
501224,2,Deccan Chargers,135,8,0.0,100.0,0,Mumbai Indians,0
501225,1,Kochi Tuskers Kerala,109,10,34.0,76.40449438202246,1,Rajasthan Royals,0
501225,2,Rajasthan Royals,111,2,78.0,200.0,1,Rajasthan Royals,1
501226,1,Chennai Super Kings,142,6,50.0,105.47945205479452,1,Chennai Super Kings,1
501226,2,Pune Warriors,117,9,43.0,95.0,1,Chennai Super Kings,0
501227,1,Delhi Daredevils,160,6,45.0,110.71428571428572,1,Royal Challengers Bangalore,0
501227,2,Royal Challengers Bangalore,161,7,0.0,117.21311475409837,0,Royal Challengers Bangalore,1
501228,1,Pune Warriors,141,6,0.0,109.6774193548387,0,Chennai Super Kings,0
501228,2,Chennai Super Kings,145,2,33.0,117.77777777777779,1,Chennai Super Kings,1
501229,1,Deccan Chargers,129,7,34.0,100.0,1,Deccan Chargers,1
501229,2,Kochi Tuskers Kerala,74,10,36.0,65.67164179104478,1,Deccan Chargers,0
501230,1,Kolkata Knight Riders,148,7,50.0,103.94736842105263,1,Kolkata Knight Riders,1
501230,2,Delhi Daredevils,131,9,31.0,106.4516129032258,1,Kolkata Knight Riders,0
501231,1,Mumbai Indians,94,8,0.0,70.16129032258065,0,Rajasthan Royals,0
501231,2,Rajasthan Royals,95,3,71.0,56.41025641025641,1,Rajasthan Royals,1
501232,1,Royal Challengers Bangalore,181,5,0.0,147.93388429752065,0,Royal Challengers Bangalore,1
501232,2,Pune Warriors,155,5,0.0,116.8,0,Royal Challengers Bangalore,0
501233,1,Delhi Daredevils,157,7,31.0,126.59574468085107,1,Delhi Daredevils,1
501233,2,Kochi Tuskers Kerala,119,10,0.0,97.36842105263158,0,Delhi Daredevils,0
501234,1,Kings XI Punjab,119,6,42.0,86.58536585365853,1,Kolkata Knight Riders,0
501234,2,Kolkata Knight Riders,120,2,90.0,152.63157894736844,1,Kolkata Knight Riders,1
501235,1,Pune Warriors,143,7,31.0,118.68131868131869,1,Rajasthan Royals,0
501235,2,Rajasthan Royals,144,4,0.0,111.76470588235294,0,Rajasthan Royals,1
501236,1,Chennai Super Kings,165,5,41.0,132.53012048192772,1,Chennai Super Kings,1
501236,2,Deccan Chargers,146,8,0.0,114.6341463414634,0,Chennai Super Kings,0
501237,1,Mumbai Indians,159,5,46.0,137.33333333333334,1,Mumbai Indians,1
501237,2,Kings XI Punjab,136,8,39.0,110.97560975609757,1,Mumbai Indians,0
501238,1,Delhi Daredevils,140,6,38.0,106.89655172413792,1,Kochi Tuskers Kerala,0
501238,2,Kochi Tuskers Kerala,141,3,34.0,128.3582089552239,1,Kochi Tuskers Kerala,1
501239,1,Kolkata Knight Riders,169,4,31.0,135.78947368421052,1,Kolkata Knight Riders,1
501239,2,Deccan Chargers,149,6,46.0,118.18181818181819,1,Kolkata Knight Riders,0
501240,1,Rajasthan Royals,147,6,0.0,114.75409836065573,0,Chennai Super Kings,0
501240,2,Chennai Super Kings,149,2,53.0,133.33333333333331,1,Chennai Super Kings,1
501241,1,Mumbai Indians,160,7,0.0,116.93548387096774,0,Mumbai Indians,1
501241,2,Pune Warriors,139,7,49.0,93.33333333333333,1,Mumbai Indians,0
501242,1,Kochi Tuskers Kerala,156,5,0.0,120.0,0,Kochi Tuskers Kerala,1
501242,2,Kolkata Knight Riders,139,7,42.0,113.75,1,Kochi Tuskers Kerala,0
501243,1,Deccan Chargers,175,5,37.0,137.5,1,Delhi Daredevils,0
501243,2,Delhi Daredevils,179,6,0.0,138.52459016393445,0,Delhi Daredevils,1
501244,1,Royal Challengers Bangalore,205,6,32.0,193.25842696629215,1,Royal Challengers Bangalore,1
501244,2,Kings XI Punjab,120,9,33.0,94.56521739130434,1,Royal Challengers Bangalore,0
501245,1,Chennai Super Kings,114,4,32.0,85.71428571428571,1,Kolkata Knight Riders,0
501245,2,Kolkata Knight Riders,61,2,0.0,90.47619047619048,0,Kolkata Knight Riders,1
501246,1,Mumbai Indians,178,4,0.0,138.70967741935485,0,Mumbai Indians,1
501246,2,Delhi Daredevils,146,10,45.0,101.23456790123457,1,Mumbai Indians,0
501247,1,Kochi Tuskers Kerala,125,9,0.0,89.14728682170544,0,Royal Challengers Bangalore,0
